日期,外資Call未平倉金額,外資Put未平倉契約金額
2017-04-24,162638,234152
2017-04-25,225903,154223
2017-04-26,236715,149876
2017-04-27,220901,149830
2017-04-28,210382,133524
2017-05-02,276369,114642
2017-05-03,289174,119628
2017-05-04,315557,114027
2017-05-05,251254,172900
2017-05-08,278947,134190
2017-05-09,277679,150209
2017-05-10,335211,122131
2017-05-11,367253,94010
2017-05-12,344114,92653
2017-05-15,399370,85669
2017-05-16,373782,87717
2017-05-17,344771,106490
2017-05-18,326566,169966
2017-05-19,297338,188036
2017-05-22,324136,158856
2017-05-23,343798,137621
2017-05-24,368243,131358
2017-05-25,499614,109007
2017-05-26,478205,125291
2017-05-31,375077,150882
2017-06-01,421171,132066
2017-06-02,517753,114669
2017-06-03,537810,102224
2017-06-05,641328,108862
2017-06-06,593822,119032
2017-06-07,592390,116409
2017-06-08,625679,107392
2017-06-09,557751,112205
2017-06-12,431365,183697
2017-06-13,439281,165140
2017-06-14,330749,213440
2017-06-15,331332,189525
2017-06-16,425923,136872
2017-06-19,586047,102304
2017-06-20,829357,84190
2017-06-21,364008,77458
2017-06-22,432963,87891
2017-06-23,410364,100531
2017-06-26,735704,78844
2017-06-27,701747,80842
2017-06-28,526797,139066
2017-06-29,536738,115733
2017-06-30,506260,160794
2017-07-03,517917,136297
2017-07-04,416787,183910
2017-07-05,507628,150345
2017-07-06,457775,177629
2017-07-07,382206,231018
2017-07-10,366270,204417
2017-07-11,527585,137993
2017-07-12,500040,149599
2017-07-13,608509,111988
2017-07-14,552777,113329
2017-07-17,581363,106160
2017-07-18,593376,88946
2017-07-19,473365,74111
2017-07-20,476037,74033
2017-07-21,413662,95485
2017-07-24,428747,82132
2017-07-25,426499,80829
2017-07-26,382533,88849
2017-07-27,489639,64456
2017-07-28,398259,131887
2017-07-31,405176,118450
2017-08-01,413186,113828
2017-08-02,483856,94619
2017-08-03,436882,136796
2017-08-04,469643,157302
2017-08-07,573999,149324
2017-08-08,553358,162634
2017-08-09,487508,237547
2017-08-10,394434,380017
2017-08-11,403494,495290
2017-08-14,343010,534247
2017-08-15,375413,327929
2017-08-16,334183,296450
2017-08-17,378724,220867
2017-08-18,354418,293019
2017-08-21,351651,279179
2017-08-22,421329,220023
2017-08-23,420558,219674
2017-08-24,531363,181678
2017-08-25,592833,192461
2017-08-28,608324,239629
2017-08-29,577962,280437
2017-08-30,669423,295938
2017-08-31,700550,299451
2017-09-01,740197,290154
2017-09-04,698226,318005
2017-09-05,735495,310850
2017-09-06,645770,382734
2017-09-07,589190,406391
2017-09-08,682583,365196
2017-09-11,649816,320806
2017-09-12,676909,272029
2017-09-13,558682,309349
2017-09-14,550644,279291
2017-09-15,600664,256057
2017-09-18,695330,211299
2017-09-19,620854,263662
2017-09-20,337111,306242
2017-09-21,379224,257015
2017-09-22,267232,445274
2017-09-25,208687,584098
2017-09-26,176309,699214
2017-09-27,199831,536088
2017-09-28,183188,542946
2017-09-29,189305,497868
2017-09-30,217533,369880
2017-10-02,276468,284178
2017-10-03,282627,264714
2017-10-05,335668,237633
2017-10-06,359513,229464
2017-10-11,503417,180919
2017-10-12,623373,146304
2017-10-13,634814,134153
2017-10-16,732056,132816
2017-10-17,641854,153007
2017-10-18,566871,140584
2017-10-19,630162,106775
2017-10-20,582520,106340
2017-10-23,576006,106096
2017-10-24,584118,135157
2017-10-25,579437,175761
2017-10-26,554429,213467
2017-10-27,517645,280492
2017-10-30,558976,245024
2017-10-31,598983,215923
2017-11-01,652040,214986
2017-11-02,594582,230182
2017-11-03,573656,215838
2017-11-06,533187,247609
2017-11-07,602573,207517
2017-11-08,583480,196342
2017-11-09,452051,230597
2017-11-10,463286,202562
