日期,自營商,外資,投信
2017/4/24,-1007870,1341752,24750
2017/4/25,1388686,2276980,25026
2017/4/26,1304293,2301857,25097
2017/4/27,1397851,2138257,-48698
2017/4/28,1807159,2318070,-48787
2017/5/2,3715206,2678988,-49153
2017/5/3,3850269,2776165,114772
2017/5/4,4653515,2850711,115026
2017/5/5,2442382,2336234,114183
2017/5/8,3054229,2544777,114588
2017/5/9,4124576,2724552,114368
2017/5/10,5556290,2798190,114899
2017/5/11,7930234,3025358,115361
2017/5/12,8074827,2851390,115281
2017/5/15,9344645,2761392,115789
2017/5/16,8132896,2375024,115592
2017/5/17,3115194,119050,115257
2017/5/18,3621528,208937,114934
2017/5/19,2916848,-65217,114715
2017/5/22,4297709,184404,115200
2017/5/23,6228578,375110,115431
2017/5/24,7208171,364207,115731
2017/5/25,9391152,798682,25773
2017/5/26,8215663,397469,-216495
2017/5/31,6037709,-357121,-215623
2017/6/1,6743711,-342522,-216505
2017/6/2,7425541,92901,-217881
2017/6/3,7812785,78448,-218354
2017/6/5,9250605,420602,-219343
2017/6/6,8611235,340916,-218977
2017/6/7,8717754,505021,-219106
2017/6/8,9151589,636920,-219558
2017/6/9,8387801,85379,-219106
2017/6/12,6395862,-249722,-217537
2017/6/13,6426179,-260584,-217924
2017/6/14,4472012,-1353481,-216333
2017/6/15,5378077,-1848558,-216548
2017/6/16,6569995,-869515,-218139
2017/6/19,7274465,-300311,-220160
2017/6/20,7861543,-399079,-222323
2017/6/21,3556784,421866,147552
2017/6/22,4576174,477980,148350
2017/6/23,3967696,252401,161397
2017/6/26,4843836,594423,167653
2017/6/27,4045808,-10953,167443
2017/6/28,3010098,-467047,165715
2017/6/29,3152309,-480113,-65374
2017/6/30,2109399,-605665,-60999
2017/7/3,2917384,-467504,-58127
2017/7/4,984654,-979246,-57715
2017/7/5,2653983,-158615,-54585
2017/7/6,809119,-1471380,-53902
2017/7/7,-616598,-1809332,-53560
2017/7/10,-814181,-1777740,-53598
2017/7/11,2766664,-669669,-57916
2017/7/12,2175029,-1566903,-49627
2017/7/13,4254424,-768807,-49491
2017/7/14,3917630,-1145227,-47854
2017/7/17,3588831,-1221488,-42280
2017/7/18,4069801,-1271015,-41668
2017/7/19,2257999,527712,248178
2017/7/20,1851818,224766,237954
2017/7/21,419839,-326536,239093
2017/7/24,439920,507289,239834
2017/7/25,501706,195548,241435
2017/7/26,-123045,-57024,242239
2017/7/27,1990446,1512576,72607
2017/7/28,-624963,-102486,-38772
2017/7/31,-462014,236402,-38832
2017/8/1,-679954,576140,-67904
2017/8/2,2100377,1700430,-66377
2017/8/3,1559764,1331157,-41628
2017/8/4,2790893,1667241,-41756
2017/8/7,3730650,2059045,-42120
2017/8/8,3255554,1801339,-42100
