日期,自營商－小型臺指期,外資－小型臺指期,投信－小型臺指期
2017/4/24,"-1,007,870","1,341,752","24,750"
2017/4/25,"1,388,686","2,276,980","25,026"
2017/4/26,"1,304,293","2,301,857","25,097"
2017/4/27,"1,397,851","2,138,257","-48,698"
2017/4/28,"1,807,159","2,318,070","-48,787"
2017/5/2,"3,715,206","2,678,988","-49,153"
2017/5/3,"3,850,269","2,776,165","114,772"
2017/5/4,"4,653,515","2,850,711","115,026"
2017/5/5,"2,442,382","2,336,234","114,183"
2017/5/8,"3,054,229","2,544,777","114,588"
2017/5/9,"4,124,576","2,724,552","114,368"
2017/5/10,"5,556,290","2,798,190","114,899"
2017/5/11,"7,930,234","3,025,358","115,361"
2017/5/12,"8,074,827","2,851,390","115,281"
2017/5/15,"9,344,645","2,761,392","115,789"
2017/5/16,"8,132,896","2,375,024","115,592"
2017/5/17,"3,115,194","119,050","115,257"
2017/5/18,"3,621,528","208,937","114,934"
2017/5/19,"2,916,848","-65,217","114,715"
2017/5/22,"4,297,709","184,404","115,200"
2017/5/23,"6,228,578","375,110","115,431"
2017/5/24,"7,208,171","364,207","115,731"
2017/5/25,"9,391,152","798,682","25,773"
2017/5/26,"8,215,663","397,469","-216,495"
2017/5/31,"6,037,709","-357,121","-215,623"
2017/6/1,"6,743,711","-342,522","-216,505"
2017/6/2,"7,425,541","92,901","-217,881"
2017/6/3,"7,812,785","78,448","-218,354"
2017/6/5,"9,250,605","420,602","-219,343"
2017/6/6,"8,611,235","340,916","-218,977"
2017/6/7,"8,717,754","505,021","-219,106"
2017/6/8,"9,151,589","636,920","-219,558"
2017/6/9,"8,387,801","85,379","-219,106"
2017/6/12,"6,395,862","-249,722","-217,537"
2017/6/13,"6,426,179","-260,584","-217,924"
2017/6/14,"4,472,012","-1,353,481","-216,333"
2017/6/15,"5,378,077","-1,848,558","-216,548"
2017/6/16,"6,569,995","-869,515","-218,139"
2017/6/19,"7,274,465","-300,311","-220,160"
2017/6/20,"7,861,543","-399,079","-222,323"
2017/6/21,"3,556,784","421,866","147,552"
2017/6/22,"4,576,174","477,980","148,350"
2017/6/23,"3,967,696","252,401","161,397"
2017/6/26,"4,843,836","594,423","167,653"
2017/6/27,"4,045,808","-10,953","167,443"
2017/6/28,"3,010,098","-467,047","165,715"
2017/6/29,"3,152,309","-480,113","-65,374"
2017/6/30,"2,109,399","-605,665","-60,999"
2017/7/3,"2,917,384","-467,504","-58,127"
2017/7/4,"984,654","-979,246","-57,715"
2017/7/5,"2,653,983","-158,615","-54,585"
2017/7/6,"809,119","-1,471,380","-53,902"
2017/7/7,"-616,598","-1,809,332","-53,560"
2017/7/10,"-814,181","-1,777,740","-53,598"
2017/7/11,"2,766,664","-669,669","-57,916"
