日期,買賣權別,身份別,未平倉口數買賣淨額,未平倉契約金額買賣淨額(千元)
2017/4/24,CALL,自營商,-3,30446
2017/4/24,CALL,投信,0,-124
2017/4/24,CALL,外資及陸資,97360,162638
2017/4/24,PUT,自營商,2337,-54693
2017/4/24,PUT,投信,0,-132
2017/4/24,PUT,外資及陸資,163450,234152
2017/4/25,CALL,自營商,644,79250
2017/4/25,CALL,投信,0,-229
2017/4/25,CALL,外資及陸資,95503,225903
2017/4/25,PUT,自營商,-28764,-28571
2017/4/25,PUT,投信,0,-59
2017/4/25,PUT,外資及陸資,167440,154223
2017/4/26,CALL,自營商,-7040,82455
2017/4/26,CALL,投信,0,-255
2017/4/26,CALL,外資及陸資,91774,236715
2017/4/26,PUT,自營商,-36476,-33569
2017/4/26,PUT,投信,0,-43
2017/4/26,PUT,外資及陸資,140672,149876
2017/4/27,CALL,自營商,-12218,56723
2017/4/27,CALL,投信,0,-255
2017/4/27,CALL,外資及陸資,90904,220901
2017/4/27,PUT,自營商,-25658,-33919
2017/4/27,PUT,投信,0,-38
2017/4/27,PUT,外資及陸資,159718,149830
2017/4/28,CALL,自營商,-10138,44372
2017/4/28,CALL,投信,0,-259
2017/4/28,CALL,外資及陸資,87883,210382
2017/4/28,PUT,自營商,-17027,-12104
2017/4/28,PUT,投信,0,-28
2017/4/28,PUT,外資及陸資,167685,133524
2017/5/2,CALL,自營商,779,113014
2017/5/2,CALL,投信,0,-387
2017/5/2,CALL,外資及陸資,94028,276369
2017/5/2,PUT,自營商,-24670,6002
2017/5/2,PUT,投信,0,-15
2017/5/2,PUT,外資及陸資,172118,114642
2017/5/3,CALL,自營商,3494,129388
2017/5/3,CALL,投信,0,-408
2017/5/3,CALL,外資及陸資,99528,289174
2017/5/3,PUT,自營商,-44739,-3298
2017/5/3,PUT,投信,0,-14
2017/5/3,PUT,外資及陸資,169650,119628
2017/5/4,CALL,自營商,-12302,89199
2017/5/4,CALL,投信,0,-476
2017/5/4,CALL,外資及陸資,107420,315557
2017/5/4,PUT,自營商,-22197,16532
2017/5/4,PUT,投信,0,-11
2017/5/4,PUT,外資及陸資,178113,114027
2017/5/5,CALL,自營商,-14139,47039
2017/5/5,CALL,投信,0,-302
2017/5/5,CALL,外資及陸資,109315,251254
2017/5/5,PUT,自營商,-12557,12002
2017/5/5,PUT,投信,0,-19
2017/5/5,PUT,外資及陸資,200562,172900
2017/5/8,CALL,自營商,-13030,61974
2017/5/8,CALL,投信,0,-366
2017/5/8,CALL,外資及陸資,114821,278947
2017/5/8,PUT,自營商,-6422,32008
2017/5/8,PUT,投信,0,-8
2017/5/8,PUT,外資及陸資,204944,134190
2017/5/9,CALL,自營商,-4668,67269
2017/5/9,CALL,投信,0,-311
2017/5/9,CALL,外資及陸資,137070,277679
2017/5/9,PUT,自營商,-21104,19815
2017/5/9,PUT,投信,0,-10
2017/5/9,PUT,外資及陸資,207320,150209
2017/5/10,CALL,自營商,-12578,74522
2017/5/10,CALL,投信,0,-438
2017/5/10,CALL,外資及陸資,141165,335211
2017/5/10,PUT,自營商,-48357,23144
2017/5/10,PUT,投信,0,-5
2017/5/10,PUT,外資及陸資,195208,122131
2017/5/11,CALL,自營商,-18868,12862
2017/5/11,CALL,投信,0,-527
2017/5/11,CALL,外資及陸資,137339,367253
2017/5/11,PUT,自營商,-24941,34401
2017/5/11,PUT,投信,0,-3
2017/5/11,PUT,外資及陸資,198551,94010
2017/5/12,CALL,自營商,-12907,4857
2017/5/12,CALL,投信,0,-536
2017/5/12,CALL,外資及陸資,136543,344114
2017/5/12,PUT,自營商,-1066,48305
2017/5/12,PUT,投信,0,0
2017/5/12,PUT,外資及陸資,199966,92653
2017/5/15,CALL,自營商,-897,44032
2017/5/15,CALL,投信,0,-736
2017/5/15,CALL,外資及陸資,147498,399370
2017/5/15,PUT,自營商,-7812,67835
2017/5/15,PUT,投信,0,0
2017/5/15,PUT,外資及陸資,203354,85669
2017/5/16,CALL,自營商,-5621,32152
2017/5/16,CALL,投信,0,-765
2017/5/16,CALL,外資及陸資,148297,373782
2017/5/16,PUT,自營商,-19268,43972
2017/5/16,PUT,投信,0,0
2017/5/16,PUT,外資及陸資,208271,87717
2017/5/17,CALL,自營商,-1025,34546
2017/5/17,CALL,投信,0,-634
2017/5/17,CALL,外資及陸資,99976,344771
2017/5/17,PUT,自營商,-9003,24437
2017/5/17,PUT,投信,0,-180
2017/5/17,PUT,外資及陸資,94143,106490
2017/5/18,CALL,自營商,7754,49082
2017/5/18,CALL,投信,0,-598
2017/5/18,CALL,外資及陸資,106615,326566
2017/5/18,PUT,自營商,11616,5064
2017/5/18,PUT,投信,0,-198
2017/5/18,PUT,外資及陸資,123618,169966
2017/5/19,CALL,自營商,2762,26875
2017/5/19,CALL,投信,0,-526
2017/5/19,CALL,外資及陸資,108754,297338
2017/5/19,PUT,自營商,30030,-16119
2017/5/19,PUT,投信,0,-207
2017/5/19,PUT,外資及陸資,134064,188036
2017/5/22,CALL,自營商,-8138,-570
2017/5/22,CALL,投信,0,-594
2017/5/22,CALL,外資及陸資,109315,324136
2017/5/22,PUT,自營商,31295,-13093
2017/5/22,PUT,投信,0,-162
2017/5/22,PUT,外資及陸資,136446,158856
2017/5/23,CALL,自營商,-4390,-5015
2017/5/23,CALL,投信,0,-621
2017/5/23,CALL,外資及陸資,117110,343798
2017/5/23,PUT,自營商,32843,11229
2017/5/23,PUT,投信,0,-135
2017/5/23,PUT,外資及陸資,132761,137621
2017/5/24,CALL,自營商,-11838,11928
2017/5/24,CALL,投信,0,-679
2017/5/24,CALL,外資及陸資,116720,368243
2017/5/24,PUT,自營商,-9657,-4072
2017/5/24,PUT,投信,0,-108
2017/5/24,PUT,外資及陸資,125610,131358
2017/5/25,CALL,自營商,-5728,38018
2017/5/25,CALL,投信,60,-474
2017/5/25,CALL,外資及陸資,126755,499614
2017/5/25,PUT,自營商,6189,20549
2017/5/25,PUT,投信,0,-58
2017/5/25,PUT,外資及陸資,133386,109007
2017/5/26,CALL,自營商,-4664,20150
2017/5/26,CALL,投信,60,-468
2017/5/26,CALL,外資及陸資,130847,478205
2017/5/26,PUT,自營商,14338,11466
2017/5/26,PUT,投信,0,-72
2017/5/26,PUT,外資及陸資,139254,125291
2017/5/31,CALL,自營商,-19714,5601
2017/5/31,CALL,投信,60,-379
2017/5/31,CALL,外資及陸資,129384,375077
2017/5/31,PUT,自營商,-15881,41758
2017/5/31,PUT,投信,0,-90
2017/5/31,PUT,外資及陸資,137811,150882
2017/6/1,CALL,自營商,-22109,-43564
2017/6/1,CALL,投信,60,-460
2017/6/1,CALL,外資及陸資,133146,421171
2017/6/1,PUT,自營商,6169,47603
2017/6/1,PUT,投信,0,-61
2017/6/1,PUT,外資及陸資,141077,132066
2017/6/2,CALL,自營商,-22057,-3779
2017/6/2,CALL,投信,60,-580
2017/6/2,CALL,外資及陸資,138391,517753
2017/6/2,PUT,自營商,13416,67830
2017/6/2,PUT,投信,0,-32
2017/6/2,PUT,外資及陸資,145961,114669
2017/6/3,CALL,自營商,-24483,-2155
2017/6/3,CALL,投信,60,-624
2017/6/3,CALL,外資及陸資,139107,537810
2017/6/3,PUT,自營商,9785,85595
2017/6/3,PUT,投信,0,-21
2017/6/3,PUT,外資及陸資,147200,102224
2017/6/5,CALL,自營商,-27089,-67256
2017/6/5,CALL,投信,60,-681
2017/6/5,CALL,外資及陸資,140266,641328
2017/6/5,PUT,自營商,-10838,72865
2017/6/5,PUT,投信,0,-17
2017/6/5,PUT,外資及陸資,153479,108862
2017/6/6,CALL,自營商,-28298,-62039
2017/6/6,CALL,投信,60,-681
2017/6/6,CALL,外資及陸資,140048,593822
2017/6/6,PUT,自營商,-15046,92654
2017/6/6,PUT,投信,0,-18
2017/6/6,PUT,外資及陸資,156437,119032
2017/6/7,CALL,自營商,-36827,-72483
2017/6/7,CALL,投信,60,-696
2017/6/7,CALL,外資及陸資,140100,592390
2017/6/7,PUT,自營商,-28942,82365
2017/6/7,PUT,投信,0,-14
2017/6/7,PUT,外資及陸資,150446,116409
2017/6/8,CALL,自營商,-40707,-129183
2017/6/8,CALL,投信,60,-723
2017/6/8,CALL,外資及陸資,139230,625679
2017/6/8,PUT,自營商,-16192,74525
2017/6/8,PUT,投信,0,-12
2017/6/8,PUT,外資及陸資,154962,107392
2017/6/9,CALL,自營商,-33591,-76019
2017/6/9,CALL,投信,60,-747
2017/6/9,CALL,外資及陸資,143013,557751
2017/6/9,PUT,自營商,-15590,95304
2017/6/9,PUT,投信,0,-8
2017/6/9,PUT,外資及陸資,155499,112205
2017/6/12,CALL,自營商,-12552,-32326
2017/6/12,CALL,投信,60,-622
2017/6/12,CALL,外資及陸資,143773,431365
2017/6/12,PUT,自營商,-22868,113014
2017/6/12,PUT,投信,0,-16
2017/6/12,PUT,外資及陸資,178602,183697
2017/6/13,CALL,自營商,-24080,-37372
2017/6/13,CALL,投信,60,-687
2017/6/13,CALL,外資及陸資,143597,439281
2017/6/13,PUT,自營商,-23679,114289
2017/6/13,PUT,投信,0,-10
2017/6/13,PUT,外資及陸資,180660,165140
2017/6/14,CALL,自營商,-53569,-62079
2017/6/14,CALL,投信,60,-479
2017/6/14,CALL,外資及陸資,135263,330749
2017/6/14,PUT,自營商,-25774,124135
2017/6/14,PUT,投信,0,-16
2017/6/14,PUT,外資及陸資,178928,213440
