日期,三大法人Call未平倉口數,三大法人Call未平倉契約金額,三大法人Put未平倉口數,三大法人Put未平倉契約金額
2017-04-24,97357,192960,165787,179327
2017-04-25,96147,304924,138676,125593
2017-04-26,84734,318915,104196,116264
2017-04-27,78686,277369,134060,115873
2017-04-28,77745,254495,150658,121392
2017-05-02,94807,388996,147448,120629
2017-05-03,103022,418154,124911,116316
2017-05-04,95118,404280,155916,130548
2017-05-05,95176,297991,188005,184883
2017-05-08,101791,340555,198522,166190
2017-05-09,132402,344637,186216,170014
2017-05-10,128587,409295,146851,145270
2017-05-11,118471,379588,173610,128408
2017-05-12,123636,348435,198900,140958
2017-05-15,146601,442666,195542,153504
2017-05-16,142676,405169,189003,131689
2017-05-17,98951,378683,85140,130747
2017-05-18,114369,375050,135234,174832
2017-05-19,111516,323687,164094,171710
2017-05-22,101177,322972,167741,145601
2017-05-23,112720,338162,165604,148715
2017-05-24,104882,379492,115953,127178
2017-05-25,121087,537158,139575,129498
2017-05-26,126243,497887,153592,136685
2017-05-31,109730,380299,121930,192550
2017-06-01,111097,377147,147246,179608
2017-06-02,116394,513394,159377,182467
2017-06-03,114684,535031,156985,187798
2017-06-05,113237,573391,142641,181710
2017-06-06,111810,531102,141391,211668
2017-06-07,103333,519211,121504,198760
2017-06-08,98583,495773,138770,181905
2017-06-09,109482,480985,139909,207501
2017-06-12,131281,398417,155734,296695
2017-06-13,119577,401222,156981,279419
2017-06-14,81754,268191,153154,337559
2017-06-15,79577,231749,183898,299928
2017-06-16,97161,394086,178463,204368
2017-06-19,95740,535324,151645,145423
2017-06-20,120758,746441,120635,114890
2017-06-21,70277,304206,63732,58056
2017-06-22,76901,356905,98739,90456
2017-06-23,79028,341581,112775,78205
2017-06-26,79195,558098,96092,124517
2017-06-27,77938,446295,113501,145184
2017-06-28,59813,365276,123730,223302
2017-06-29,71712,371758,156769,176646
2017-06-30,73988,336498,182393,236888
2017-07-03,78834,339949,181011,219798
2017-07-04,90197,294362,182323,260184
2017-07-05,53859,345530,147185,192911
2017-07-06,50211,281122,199180,248463
2017-07-07,52876,258771,216679,341828
2017-07-10,66523,259398,217418,266620
2017-07-11,87068,363283,193264,194878
2017-07-12,46323,364901,179919,222851
2017-07-13,76317,409233,197238,150519
2017-07-14,67407,341247,216606,158521
2017-07-17,77457,350630,215503,146750
2017-07-18,74653,305291,209473,116895
2017-07-19,71752,411507,66693,76935
2017-07-20,73045,373138,112300,91240
2017-07-21,69411,306994,139982,134799
2017-07-24,88341,321020,130702,111891
2017-07-25,81615,287681,137532,125993
2017-07-26,66882,277727,114662,147681
2017-07-27,98759,356259,108664,57788
2017-07-28,74487,266439,163053,246414
2017-07-31,80721,263613,154480,183869
2017-08-01,89078,305763,145559,180229
2017-08-02,82940,366965,121288,140196
2017-08-03,65352,246224,181670,228599
2017-08-04,66980,216455,195214,214163
2017-08-07,80402,316407,174778,179795
2017-08-08,64423,262477,194821,201646
2017-08-09,51341,248398,197215,330681
2017-08-10,48142,233948,248137,455084
2017-08-11,54661,278454,279656,495721
2017-08-14,42816,248592,274058,538776
2017-08-15,36554,241681,268767,295776
2017-08-16,63103,203495,101187,195258
2017-08-17,93757,228581,139051,103089
2017-08-18,85445,175997,175433,188914
2017-08-21,87588,179300,173227,169800
2017-08-22,118911,349704,147696,101801
2017-08-23,108030,325083,118261,96525
2017-08-24,132672,473296,121770,61644
2017-08-25,125112,503529,146334,112125
2017-08-28,122699,499182,145130,106980
2017-08-29,126056,474293,168014,143356
2017-08-30,131488,574624,119467,117942
2017-08-31,136322,566965,125435,119831
2017-09-01,151540,621576,113939,81364
2017-09-04,154039,571111,119383,89771
2017-09-05,137727,581767,149992,122502
2017-09-06,140346,468138,159420,162728
2017-09-07,141393,413364,158837,116251
2017-09-08,155358,511249,147206,91620
2017-09-11,128176,439411,179648,148195
2017-09-12,136716,480050,186308,132245
2017-09-13,115580,346301,189049,149812
2017-09-14,123105,341942,180691,97151
2017-09-15,111322,370079,193060,106962
2017-09-18,129278,482435,185649,77548
2017-09-19,97848,337804,235645,196599
2017-09-20,81431,280616,102030,147582
2017-09-21,116411,348395,112844,139692
2017-09-22,103246,228204,160819,339166
