期貨名稱,日期,到期月,開盤價,收盤價,每日結算價,未平倉合約數,無風險利率
TX201705 台指 2017/05,2017/4/24,2017/05,"9,747","9,705","9,706","86,630",1.045
TX201706 台指 2017/06,2017/4/24,2017/06,"9,729","9,690","9,690","6,869",1.045
TX201709 台指 2017/09,2017/4/24,2017/09,"9,370","9,332","9,332","2,733",1.045
TX201712 台指 2017/12,2017/4/24,2017/12,"9,349","9,295","9,295","1,961",1.045
TX201803 台指 2018/03,2017/4/24,2018/03,"9,307","9,261","9,261",501,1.045
TX201705 台指 2017/05,2017/4/25,2017/05,"9,746","9,813","9,814","88,368",1.045
TX201706 台指 2017/06,2017/4/25,2017/06,"9,735","9,800","9,800","8,056",1.045
TX201709 台指 2017/09,2017/4/25,2017/09,"9,386","9,440","9,440","3,063",1.045
TX201712 台指 2017/12,2017/4/25,2017/12,"9,347","9,410","9,410","2,240",1.045
TX201803 台指 2018/03,2017/4/25,2018/03,"9,303","9,370","9,370",545,1.045
TX201705 台指 2017/05,2017/4/26,2017/05,"9,855","9,841","9,842","88,047",1.045
TX201706 台指 2017/06,2017/4/26,2017/06,"9,845","9,827","9,828","7,650",1.045
TX201709 台指 2017/09,2017/4/26,2017/09,"9,483","9,463","9,463","3,631",1.045
TX201712 台指 2017/12,2017/4/26,2017/12,"9,462","9,428","9,429","2,351",1.045
TX201803 台指 2018/03,2017/4/26,2018/03,"9,408","9,395","9,395",591,1.045
TX201705 台指 2017/05,2017/4/27,2017/05,"9,829","9,839","9,838","88,742",1.045
TX201706 台指 2017/06,2017/4/27,2017/06,"9,819","9,827","9,826","7,747",1.045
TX201709 台指 2017/09,2017/4/27,2017/09,"9,440","9,458","9,458","3,911",1.045
TX201712 台指 2017/12,2017/4/27,2017/12,"9,422","9,427","9,427","2,538",1.045
TX201803 台指 2018/03,2017/4/27,2018/03,"9,380","9,393","9,393",672,1.045
TX201705 台指 2017/05,2017/4/28,2017/05,"9,847","9,857","9,856","88,286",1.045
TX201706 台指 2017/06,2017/4/28,2017/06,"9,834","9,843","9,842","7,667",1.045
TX201709 台指 2017/09,2017/4/28,2017/09,"9,459","9,475","9,473","4,589",1.045
TX201712 台指 2017/12,2017/4/28,2017/12,"9,428","9,437","9,437","2,846",1.045
TX201803 台指 2018/03,2017/4/28,2018/03,"9,399","9,404","9,404","1,123",1.045
TX201705 台指 2017/05,2017/5/2,2017/05,"9,899","9,932","9,930","92,910",1.045
TX201706 台指 2017/06,2017/5/2,2017/06,"9,880","9,917","9,917","8,238",1.045
TX201709 台指 2017/09,2017/5/2,2017/09,"9,507","9,541","9,541","4,955",1.045
TX201712 台指 2017/12,2017/5/2,2017/12,"9,485","9,508","9,508","2,789",1.045
TX201803 台指 2018/03,2017/5/2,2018/03,"9,441","9,477","9,475","1,169",1.045
TX201705 台指 2017/05,2017/5/3,2017/05,"9,946","9,936","9,937","94,130",1.045
TX201706 台指 2017/06,2017/5/3,2017/06,"9,939","9,923","9,924","8,154",1.045
TX201709 台指 2017/09,2017/5/3,2017/09,"9,552","9,543","9,543","5,236",1.045
TX201712 台指 2017/12,2017/5/3,2017/12,"9,534","9,508","9,508","2,832",1.045
TX201803 台指 2018/03,2017/5/3,2018/03,"9,484","9,476","9,476","1,185",1.045
TX201705 台指 2017/05,2017/5/4,2017/05,"9,951","9,959","9,959","94,747",1.045
TX201706 台指 2017/06,2017/5/4,2017/06,"9,934","9,944","9,945","8,593",1.045
TX201709 台指 2017/09,2017/5/4,2017/09,"9,551","9,554","9,554","5,503",1.045
TX201712 台指 2017/12,2017/5/4,2017/12,"9,521","9,515","9,515","2,902",1.045
TX201803 台指 2018/03,2017/5/4,2018/03,"9,487","9,471","9,471","1,232",1.045
TX201705 台指 2017/05,2017/5/5,2017/05,"9,946","9,889","9,886","90,977",1.045
TX201706 台指 2017/06,2017/5/5,2017/06,"9,932","9,872","9,872","8,207",1.045
TX201709 台指 2017/09,2017/5/5,2017/09,"9,536","9,474","9,474","5,924",1.045
TX201712 台指 2017/12,2017/5/5,2017/12,"9,496","9,436","9,436","3,062",1.045
TX201803 台指 2018/03,2017/5/5,2018/03,"9,460","9,397","9,397","1,291",1.045
TX201705 台指 2017/05,2017/5/8,2017/05,"9,929","9,921","9,921","90,175",1.045
TX201706 台指 2017/06,2017/5/8,2017/06,"9,909","9,907","9,906","8,464",1.045
TX201709 台指 2017/09,2017/5/8,2017/09,"9,512","9,511","9,511","6,172",1.045
TX201712 台指 2017/12,2017/5/8,2017/12,"9,472","9,475","9,475","3,080",1.045
TX201803 台指 2018/03,2017/5/8,2018/03,"9,440","9,440","9,440","1,293",1.045
TX201705 台指 2017/05,2017/5/9,2017/05,"9,916","9,904","9,902","90,192",1.045
TX201706 台指 2017/06,2017/5/9,2017/06,"9,904","9,892","9,890","10,099",1.045
TX201709 台指 2017/09,2017/5/9,2017/09,"9,501","9,499","9,499","6,605",1.045
TX201712 台指 2017/12,2017/5/9,2017/12,"9,486","9,462","9,462","3,217",1.045
TX201803 台指 2018/03,2017/5/9,2018/03,"9,447","9,431","9,431","1,369",1.045
TX201705 台指 2017/05,2017/5/10,2017/05,"9,938","9,947","9,948","91,097",1.045
TX201706 台指 2017/06,2017/5/10,2017/06,"9,928","9,936","9,934","11,172",1.045
TX201709 台指 2017/09,2017/5/10,2017/09,"9,529","9,545","9,545","6,720",1.045
TX201712 台指 2017/12,2017/5/10,2017/12,"9,492","9,511","9,511","3,228",1.045
TX201803 台指 2018/03,2017/5/10,2018/03,"9,459","9,475","9,475","1,356",1.045
TX201705 台指 2017/05,2017/5/11,2017/05,"9,962","9,987","9,988","87,640",1.045
TX201706 台指 2017/06,2017/5/11,2017/06,"9,950","9,976","9,975","17,583",1.045
TX201709 台指 2017/09,2017/5/11,2017/09,"9,556","9,586","9,585","6,898",1.045
TX201712 台指 2017/12,2017/5/11,2017/12,"9,524","9,551","9,551","3,306",1.045
TX201803 台指 2018/03,2017/5/11,2018/03,"9,490","9,512","9,512","1,349",1.045
TX201705 台指 2017/05,2017/5/12,2017/05,"9,982","9,981","9,981","78,965",1.045
TX201706 台指 2017/06,2017/5/12,2017/06,"9,972","9,969","9,969","25,068",1.045
TX201709 台指 2017/09,2017/5/12,2017/09,"9,578","9,576","9,576","7,023",1.045
TX201712 台指 2017/12,2017/5/12,2017/12,"9,536","9,540","9,540","3,349",1.045
TX201803 台指 2018/03,2017/5/12,2018/03,"9,507","9,502","9,502","1,372",1.045
TX201705 台指 2017/05,2017/5/15,2017/05,"9,990","10,028","10,025","56,129",1.045
TX201706 台指 2017/06,2017/5/15,2017/06,"9,973","10,014","10,013","55,645",1.045
TX201709 台指 2017/09,2017/5/15,2017/09,"9,590","9,616","9,615","7,289",1.045
TX201712 台指 2017/12,2017/5/15,2017/12,"9,544","9,578","9,577","3,448",1.045
TX201803 台指 2018/03,2017/5/15,2018/03,"9,503","9,543","9,543","1,379",1.045
TX201705 台指 2017/05,2017/5/16,2017/05,"10,040","10,022","10,021","35,623",1.045
TX201706 台指 2017/06,2017/5/16,2017/06,"10,032","10,009","10,008","74,387",1.045
TX201709 台指 2017/09,2017/5/16,2017/09,"9,631","9,619","9,619","7,575",1.045
TX201712 台指 2017/12,2017/5/16,2017/12,"9,597","9,580","9,580","3,531",1.045
TX201803 台指 2018/03,2017/5/16,2018/03,"9,550","9,540","9,540","1,406",1.045
TX201705 台指 2017/05,2017/5/17,2017/05,"9,993","10,000","10,000","20,699",1.045
