時間,近月收盤價,遠月收盤價
2019/12/20,11979,11966
2019/12/23,12020,12006
2019/12/24,11983,11973
2019/12/25,12019,12006
2019/12/26,12007,11995
2019/12/27,12097,12085
2019/12/30,12069,12058
2019/12/31,11994,11984
2020/1/2,12101,12091
2020/1/3,12087,12075
2020/1/6,11949,11938
2020/1/7,11871,11860
2020/1/8,11788,11773
2020/1/9,11969,11956
2020/1/10,12011,11997
2020/1/13,12116,12096
2020/1/14,12181,12155
2020/1/15,12063,12054
2020/1/16,12052,12036
2020/1/17,12071,12052
2020/1/20,12111,12095
2020/1/30,11372,11355
2020/1/31,11469,11448
2020/2/3,11324,11304
2020/2/4,11534,11515
2020/2/5,11542,11523
2020/2/6,11739,11721
2020/2/7,11589,11572
2020/2/10,11565,11547
2020/2/11,11664,11643
2020/2/12,11770,11746
2020/2/13,11775,11755
2020/2/14,11810,11789
2020/2/17,11769,11750
2020/2/18,11640,11629
2020/2/19,11760,11763
2020/2/20,11713,11682
2020/2/21,11663,11633
2020/2/24,11511,11481
2020/2/25,11541,11509
2020/2/26,11421,11390
2020/2/27,11276,11246
2020/3/2,11176,11147
2020/3/3,11321,11288
2020/3/4,11358,11324
2020/3/5,11491,11456
2020/3/6,11269,11232
2020/3/9,10951,10910
2020/3/10,10981,10934
2020/3/11,10824,10773
2020/3/12,10362,10298
2020/3/13,10027,9953
2020/3/16,9679,9563
2020/3/17,9371,9205
2020/3/18,9263,8919
2020/3/19,8356,8287
2020/3/20,9041,9000
2020/3/23,8665,8609
2020/3/24,9193,9131
2020/3/25,9585,9518
2020/3/26,9631,9565
2020/3/27,9579,9518
2020/3/30,9566,9500
2020/3/31,9595,9529
2020/4/1,9555,9486
2020/4/6,9823,9764
2020/4/7,9998,9943
2020/4/8,10122,10073
2020/4/9,10100,10027
2020/4/10,10133,10046
2020/4/13,10079,9949
2020/4/14,10343,10263
2020/4/15,10450,10325
2020/4/16,10301,10233
2020/4/17,10563,10499
2020/4/20,10475,10414
2020/4/21,10196,10132
2020/4/22,10222,10155
2020/4/23,10292,10225
2020/4/24,10268,10197
2020/4/27,10545,10484
2020/4/28,10583,10520
2020/4/29,10709,10646
2020/4/30,10947,10881
2020/5/4,10610,10546
2020/5/5,10719,10646
2020/5/6,10749,10671
2020/5/7,10833,10750
2020/5/8,10894,10809
2020/5/11,10982,10903
2020/5/12,10865,10793
2020/5/13,10914,10838
2020/5/14,10749,10673
2020/5/15,10817,10752
2020/5/18,10761,10696
2020/5/19,10868,10803
2020/5/20,10887,10851
2020/5/21,10953,10802
2020/5/22,10744,10585
2020/5/25,10821,10663
2020/5/26,10984,10823
2020/5/27,10973,10821
2020/5/28,10911,10762
2020/5/29,10919,10768
2020/6/1,11057,10908
2020/6/2,11107,10958
2020/6/3,11283,11129
2020/6/4,11358,11207
2020/6/5,11457,11304
2020/6/8,11570,11413
2020/6/9,11606,11440
2020/6/10,11704,11534
2020/6/11,11491,11303
2020/6/12,11391,11203
2020/6/15,11225,11022
2020/6/16,11522,11329
2020/6/17,11521,11359
2020/6/18,11395,11233
2020/6/19,11409,11245
2020/6/22,11421,11250
2020/6/23,11456,11283
2020/6/24,11523,11350
2020/6/29,11363,11195
2020/6/30,11470,11297
2020/7/1,11544,11372
2020/7/2,11695,11519
2020/7/3,11834,11657
2020/7/6,12067,11906
2020/7/7,12028,11868
2020/7/8,12126,11965
2020/7/9,12149,11980
2020/7/10,11995,11826
2020/7/13,12204,12029
2020/7/14,12188,12030
2020/7/15,12220,12084
2020/7/16,12029,11989
2020/7/17,12039,11993
2020/7/20,12033,11987
2020/7/21,12288,12239
2020/7/22,12332,12278
2020/7/23,12287,12235
2020/7/24,12150,12096
2020/7/27,12498,12443
2020/7/28,12454,12399
2020/7/29,12421,12364
2020/7/30,12595,12538
2020/7/31,12576,12517
2020/8/3,12440,12383
2020/8/4,12629,12570
2020/8/5,12741,12682
2020/8/6,12836,12778
2020/8/7,12759,12701
2020/8/10,12854,12796
2020/8/11,12735,12682
2020/8/12,12655,12599
2020/8/13,12725,12668
2020/8/14,12789,12733
2020/8/17,12953,12897
2020/8/18,12877,12831
2020/8/19,12806,12749
2020/8/20,12298,12249
2020/8/21,12551,12498
2020/8/24,12603,12554
2020/8/25,12735,12686
2020/8/26,12795,12746
2020/8/27,12758,12711
2020/8/28,12688,12644
2020/8/31,12589,12545
2020/9/1,12688,12640
2020/9/2,12690,12642
2020/9/3,12734,12683
2020/9/4,12607,12558
2020/9/7,12580,12528
2020/9/8,12667,12614
2020/9/9,12598,12538
2020/9/10,12698,12630
2020/9/11,12663,12599
2020/9/14,12784,12715
2020/9/15,12843,12782
2020/9/16,12968,12903
2020/9/17,12815,12776
2020/9/18,12833,12792
2020/9/21,12659,12615
2020/9/22,12509,12459
2020/9/23,12528,12480
2020/9/24,12180,12131
2020/9/25,12195,12149
2020/9/28,12415,12369
2020/9/29,12421,12371
2020/9/30,12473,12423
2020/10/5,12529,12482
2020/10/6,12677,12627
2020/10/7,12754,12705
2020/10/8,12873,12821
2020/10/12,12921,12863
2020/10/13,12915,12850
2020/10/14,12890,12818
2020/10/15,12840,12766
2020/10/16,12748,12675
2020/10/19,12893,12831
2020/10/20,12855,12779
2020/10/21,12860,12808
2020/10/22,12836,12777
2020/10/23,12838,12776
2020/10/26,12860,12794
2020/10/27,12808,12743
2020/10/28,12743,12679
2020/10/29,12603,12540
2020/10/30,12413,12349
2020/11/2,12516,12450
2020/11/3,12684,12618
2020/11/4,12864,12799
2020/11/5,12891,12825
2020/11/6,12937,12870
2020/11/9,13126,13054
