時間,近月收盤價,遠月收盤價,遠近月收盤價差,NearbyCode
2019-12-20,11979,11966,-13,TXFA0
2019-12-23,12020,12006,-14,TXFA0
2019-12-24,11983,11973,-10,TXFA0
2019-12-25,12019,12006,-13,TXFA0
2019-12-26,12007,11995,-12,TXFA0
2019-12-27,12097,12085,-12,TXFA0
2019-12-30,12069,12058,-11,TXFA0
2019-12-31,11994,11984,-10,TXFA0
2020-01-02,12101,12091,-10,TXFA0
2020-01-03,12087,12075,-12,TXFA0
2020-01-06,11949,11938,-11,TXFA0
2020-01-07,11871,11860,-11,TXFA0
2020-01-08,11788,11773,-15,TXFA0
2020-01-09,11969,11956,-13,TXFA0
2020-01-10,12011,11997,-14,TXFA0
2020-01-13,12116,12096,-20,TXFA0
2020-01-14,12181,12155,-26,TXFA0
2020-01-15,12063,12054,-9,TXFB0
2020-01-16,12052,12036,-16,TXFB0
2020-01-17,12071,12052,-19,TXFB0
2020-01-20,12111,12095,-16,TXFB0
2020-01-30,11372,11355,-17,TXFB0
2020-01-31,11469,11448,-21,TXFB0
2020-02-03,11324,11304,-20,TXFB0
2020-02-04,11534,11515,-19,TXFB0
2020-02-05,11542,11523,-19,TXFB0
2020-02-06,11739,11721,-18,TXFB0
2020-02-07,11589,11572,-17,TXFB0
2020-02-10,11565,11547,-18,TXFB0
2020-02-11,11664,11643,-21,TXFB0
2020-02-12,11770,11746,-24,TXFB0
2020-02-13,11775,11755,-20,TXFB0
2020-02-14,11810,11789,-21,TXFB0
2020-02-17,11769,11750,-19,TXFB0
2020-02-18,11640,11629,-11,TXFB0
2020-02-19,11760,11763,3,TXFC0
2020-02-20,11713,11682,-31,TXFC0
2020-02-21,11663,11633,-30,TXFC0
2020-02-24,11511,11481,-30,TXFC0
2020-02-25,11541,11509,-32,TXFC0
2020-02-26,11421,11390,-31,TXFC0
2020-02-27,11276,11246,-30,TXFC0
2020-03-02,11176,11147,-29,TXFC0
2020-03-03,11321,11288,-33,TXFC0
2020-03-04,11358,11324,-34,TXFC0
2020-03-05,11491,11456,-35,TXFC0
2020-03-06,11269,11232,-37,TXFC0
2020-03-09,10951,10910,-41,TXFC0
2020-03-10,10981,10934,-47,TXFC0
2020-03-11,10824,10773,-51,TXFC0
2020-03-12,10362,10298,-64,TXFC0
2020-03-13,10027,9953,-74,TXFC0
2020-03-16,9679,9563,-116,TXFC0
2020-03-17,9371,9205,-166,TXFC0
2020-03-18,9263,8919,-344,TXFD0
2020-03-19,8356,8287,-69,TXFD0
2020-03-20,9041,9000,-41,TXFD0
2020-03-23,8665,8609,-56,TXFD0
2020-03-24,9193,9131,-62,TXFD0
2020-03-25,9585,9518,-67,TXFD0
2020-03-26,9631,9565,-66,TXFD0
2020-03-27,9579,9518,-61,TXFD0
2020-03-30,9566,9500,-66,TXFD0
2020-03-31,9595,9529,-66,TXFD0
2020-04-01,9555,9486,-69,TXFD0
2020-04-06,9823,9764,-59,TXFD0
2020-04-07,9998,9943,-55,TXFD0
2020-04-08,10122,10073,-49,TXFD0
2020-04-09,10100,10027,-73,TXFD0
2020-04-10,10133,10046,-87,TXFD0
2020-04-13,10079,9949,-130,TXFD0
2020-04-14,10343,10263,-80,TXFD0
2020-04-15,10450,10325,-125,TXFE0
2020-04-16,10301,10233,-68,TXFE0
2020-04-17,10563,10499,-64,TXFE0
2020-04-20,10475,10414,-61,TXFE0
2020-04-21,10196,10132,-64,TXFE0
2020-04-22,10222,10155,-67,TXFE0
2020-04-23,10292,10225,-67,TXFE0
2020-04-24,10268,10197,-71,TXFE0
2020-04-27,10545,10484,-61,TXFE0
2020-04-28,10583,10520,-63,TXFE0
2020-04-29,10709,10646,-63,TXFE0
2020-04-30,10947,10881,-66,TXFE0
2020-05-04,10610,10546,-64,TXFE0
2020-05-05,10719,10646,-73,TXFE0
2020-05-06,10749,10671,-78,TXFE0
2020-05-07,10833,10750,-83,TXFE0
2020-05-08,10894,10809,-85,TXFE0
2020-05-11,10982,10903,-79,TXFE0
2020-05-12,10865,10793,-72,TXFE0
